Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
926316,Secondary, Улица 1905 года,7.0,Moscow,5.0,190.0,70.0,50.0,10.0,21,Designer
905433,Secondary, Новослободская,8.0,Moscow,5.0,198.8,123.0,17.0,4.0,11,Without renovation
1059783,Secondary, Улица 1905 года,7.0,Moscow,5.0,184.0,117.0,9.0,17.0,21,Designer
1124294,Secondary, Арбатская,6.0,Moscow,5.0,177.0,98.0,18.0,3.0,7,European-style renovation
629525,Secondary, Тушинская,14.0,Moscow,5.0,317.7,162.7,32.9,5.0,5,Designer
681250,Secondary, Боровицкая,6.0,Moscow,5.0,320.0,30.0,33.1,4.0,4,Designer
1273684,Secondary, Арбатская,6.0,Moscow,5.0,190.0,98.2,22.4,5.0,7,Designer
1296651,Secondary, Спортивная,8.0,Moscow,5.0,209.0,170.0,30.0,16.0,16,Without renovation
1531088,Secondary, Кропоткинская,6.0,Moscow,5.0,193.0,135.0,30.0,2.0,6,Designer
288828,Secondary, Коломенская,18.0,Moscow,5.0,183.5,80.0,30.0,12.0,14,European-style renovation
587607,Secondary, Технопарк,9.0,Moscow,5.0,187.2,96.8,22.1,16.0,17,Without renovation
696517,Secondary, Смоленская,4.0,Moscow,5.0,201.0,156.0,25.0,3.0,5,European-style renovation
771775,Secondary, Кропоткинская,10.0,Moscow,5.0,181.4,115.0,20.0,4.0,5,European-style renovation
672489,Secondary, Полянка,6.0,Moscow,5.0,229.0,172.0,15.0,8.0,9,Designer
1011236,Secondary, Минская,14.0,Moscow,5.0,178.0,165.0,21.4,6.0,8,Without renovation
840517,Secondary, Минская,10.0,Moscow,5.0,232.0,18.7,25.8,4.0,7,Designer
1124294,Secondary, Арбатская,6.0,Moscow,5.0,177.0,134.0,25.0,3.0,7,European-style renovation
455882,Secondary, Минская,5.0,Moscow,5.0,136.0,69.0,20.0,2.0,14,Without renovation
346908,Secondary, Раменки,2.0,Moscow,5.0,198.9,128.0,36.0,10.0,19,European-style renovation
558952,Secondary, Маяковская,3.0,Moscow,5.0,229.0,130.0,25.0,7.0,8,Designer
755814,Secondary, Кропоткинская,5.0,Moscow,5.0,172.0,111.0,13.0,4.0,5,European-style renovation
351351,Secondary, Ломоносовский проспект,16.0,Moscow,5.0,370.0,275.0,25.0,21.0,21,Designer
428571,Secondary, Новослободская,1.0,Moscow,5.0,350.0,16.0,35.6,17.0,17,European-style renovation
1168699,Secondary, Маяковская,11.0,Moscow,5.0,196.8,30.0,22.9,5.0,6,Designer
841413,Secondary, Новокузнецкая,3.0,Moscow,5.0,288.8,180.0,20.0,9.0,11,Without renovation
1020408,Secondary, Парк Культуры,7.0,Moscow,5.0,245.0,196.0,25.0,3.0,4,European-style renovation
868446,Secondary, Кропоткинская,10.0,Moscow,5.0,310.9,255.0,25.0,1.0,5,European-style renovation
1147541,Secondary, Спортивная,9.0,Moscow,6.0,305.0,250.0,25.0,2.0,5,Designer
284131,Secondary, Баррикадная,9.0,Moscow,6.0,422.34,160.0,55.0,7.0,7,Without renovation
1100000,Secondary, Раменки,6.0,Moscow,6.0,379.5,194.0,38.0,5.0,10,Without renovation
1079365,Secondary, Спортивная,9.0,Moscow,6.0,315.0,160.0,20.0,2.0,6,Designer
1129032,Secondary, Фрунзенская,13.0,Moscow,6.0,310.0,158.9,32.3,2.0,14,Designer
1147541,Secondary, Спортивная,8.0,Moscow,6.0,305.0,156.3,31.9,2.0,5,Designer
2075765,Secondary, Арбатская,7.0,Moscow,6.0,192.7,99.6,22.6,6.0,8,Designer
395973,Secondary, Минская,7.0,Moscow,6.0,298.0,152.8,31.3,2.0,7,Designer
834997,Secondary, Парк Культуры,6.0,Moscow,6.0,550.9,280.6,52.2,6.0,10,Without renovation
480769,Secondary, Ростокино,11.0,Moscow,6.0,260.0,175.0,50.0,35.0,38,Designer
349507,Secondary, Профсоюзная,12.0,Moscow,6.0,243.2,20.0,26.8,28.0,28,Designer
2000000,Secondary, Ломоносовский проспект,19.0,Moscow,6.0,427.5,20.0,42.0,9.0,9,Without renovation
937245,Secondary, Молодёжная,6.0,Moscow,6.0,245.4,20.0,26.9,2.0,4,Designer
340444,Secondary, Ломоносовский проспект,3.0,Moscow,6.0,234.4,120.6,26.0,7.0,22,Designer
933333,Secondary, Деловой центр,15.0,Moscow,6.0,225.0,131.8,39.2,14.0,20,Without renovation
1250823,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,303.8,155.7,31.8,3.0,12,Designer
1721790,Secondary, Ломоносовский проспект,19.0,Moscow,6.0,514.0,20.0,49.2,9.0,9,Without renovation
381974,Secondary, Минская,6.0,Moscow,6.0,233.0,20.0,25.9,3.0,22,Without renovation
600000,Secondary, Молодёжная,6.0,Moscow,6.0,450.0,43.0,43.9,2.0,4,Designer
1361868,Secondary, Киевская,12.0,Moscow,6.0,257.0,132.1,27.9,8.0,9,Without renovation
2473498,Secondary, Киевская,11.0,Moscow,6.0,283.0,145.2,30.1,11.0,14,Designer
600000,Secondary, Деловой центр,4.0,Moscow,6.0,189.0,50.0,22.3,40.0,90,Designer
698413,Secondary, Чистые пруды,7.0,Moscow,6.0,315.0,157.0,36.0,5.0,6,European-style renovation
2508949,Secondary, Фрунзенская,6.0,Moscow,6.0,298.93,20.0,31.4,4.0,12,Designer
552766,Secondary, Сокол,10.0,Moscow,6.0,235.0,150.0,16.0,2.0,5,European-style renovation
519481,Secondary, Славянский бульвар,26.0,Moscow,6.0,385.0,50.0,38.5,1.0,1,Without renovation
979843,Secondary, Новослободская,7.0,Moscow,6.0,357.2,182.7,36.2,4.0,4,Without renovation
722222,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,180.0,111.0,22.0,28.0,53,Designer
1242678,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,239.0,123.0,26.4,3.0,8,Without renovation
1250000,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,304.0,155.8,31.8,3.0,8,Without renovation
478261,Secondary, Чистые пруды,5.0,Moscow,6.0,207.0,150.0,20.0,2.0,5,European-style renovation
248663,Secondary, Нагорная,13.0,Moscow,6.0,187.0,113.1,26.6,9.0,9,Without renovation
481481,Secondary, Октябрьское поле,8.0,Moscow,6.0,243.0,45.0,26.7,9.0,21,Designer
685871,Secondary, Улица 1905 года,11.0,Moscow,6.0,182.25,107.0,25.0,6.0,17,Designer
551937,Secondary, Сокол,15.0,Moscow,6.0,284.0,231.0,25.0,1.0,5,European-style renovation
519481,Secondary, Минская,7.0,Moscow,6.0,385.0,123.0,24.0,1.0,3,Without renovation
877551,Secondary, Университет,5.0,Moscow,6.0,245.0,150.0,39.0,16.0,17,European-style renovation
1293681,Secondary, Спортивная,9.0,Moscow,6.0,208.9,170.0,30.0,16.0,16,Without renovation
1066667,Secondary, Маяковская,10.0,Moscow,6.0,300.0,172.0,36.0,6.0,9,Designer
226382,Secondary, Кунцевская,12.0,Moscow,6.0,229.7,20.0,25.6,4.0,15,Without renovation
744500,Secondary, Щукинская,7.0,Moscow,6.0,200.0,30.0,23.2,20.0,22,Without renovation
2500000,Secondary, Фрунзенская,5.0,Moscow,6.0,300.0,188.0,25.0,4.0,14,Designer
1735294,Secondary, Арбатская,7.0,Moscow,6.0,340.0,174.0,34.8,7.0,8,Designer
1129032,Secondary, Спортивная,9.0,Moscow,6.0,310.0,20.0,32.3,2.0,6,Designer
1250823,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,303.8,155.7,31.8,3.0,9,Without renovation
417339,Secondary, Стрешнево,11.0,Moscow,6.0,172.9,147.9,20.0,27.0,27,Without renovation
446955,Secondary, Октябрьское поле,5.0,Moscow,6.0,203.6,20.0,23.5,7.0,20,Designer
545455,Secondary, Кропоткинская,3.0,Moscow,6.0,330.0,150.0,50.0,7.0,7,Designer
470899,Secondary, Пушкинская,6.0,Moscow,6.0,189.0,127.0,22.0,3.0,5,Without renovation
676576,Secondary, Улица 1905 года,9.0,Moscow,6.0,184.0,120.0,20.0,6.0,17,Designer
541516,Secondary, Кропоткинская,3.0,Moscow,6.0,332.4,170.2,34.1,7.0,7,Designer
396825,Secondary, Тушинская,6.0,Moscow,6.0,88.2,60.9,10.0,12.0,17,Without renovation
886525,Secondary, Кропоткинская,5.0,Moscow,6.0,282.0,171.0,20.0,2.0,6,European-style renovation
286344,Secondary, Речной вокзал,6.0,Moscow,6.0,227.0,15.0,25.4,17.0,17,Designer
450000,Secondary, Шаболовская,10.0,Moscow,6.0,287.5,20.0,30.4,22.0,29,Designer
722892,Secondary, Водный стадион,15.0,Moscow,6.0,415.0,211.9,41.0,4.0,5,Designer
993548,Secondary, Фрунзенская,5.0,Moscow,6.0,310.0,158.9,32.3,4.0,20,Designer
2473498,Secondary, Киевская,12.0,Moscow,6.0,283.0,20.0,30.1,11.0,14,Designer
600000,Secondary, Парк Победы,7.0,Moscow,6.0,320.0,163.9,33.1,3.0,48,Designer
619048,Secondary, Ломоносовский проспект,10.0,Moscow,6.0,420.0,50.0,41.4,13.0,15,Designer
700000,Secondary, Давыдково,27.0,Moscow,6.0,384.2,196.4,38.4,1.0,3,Designer
1450000,Secondary, Маяковская,6.0,Moscow,6.0,300.0,13.0,31.5,7.0,12,Designer
1329787,Secondary, Фрунзенская,10.0,Moscow,6.0,338.4,213.0,15.0,10.0,15,Without renovation
350962,Secondary, Хорошёво,7.0,Moscow,6.0,208.0,107.3,23.8,10.0,19,Designer
204990,Secondary, Проспект Вернадского,15.0,Moscow,6.0,629.3,20.0,58.7,30.0,30,Without renovation
1000000,Secondary, Шаболовская,12.0,Moscow,6.0,230.0,120.6,18.0,17.0,17,Designer
595238,Secondary, Октябрьское поле,8.0,Moscow,6.0,420.0,214.5,41.4,3.0,3,Without renovation
934844,Secondary, Октябрьское поле,8.0,Moscow,6.0,353.0,180.6,35.8,3.0,3,Designer
595238,Secondary, Октябрьское поле,8.0,Moscow,6.0,840.0,426.8,76.1,1.0,3,Without renovation
484315,Secondary, Алексеевская,11.0,Moscow,6.0,181.7,105.0,13.0,15.0,15,Without renovation
597826,Secondary, Технопарк,19.0,Moscow,6.0,184.0,45.0,21.9,12.0,13,Designer
549364,Secondary, Баррикадная,8.0,Moscow,6.0,259.3,133.2,28.1,7.0,7,Designer
794444,Secondary, Аэропорт,10.0,Moscow,6.0,180.0,114.0,22.0,14.0,22,Designer
659574,Secondary, Выставочная,19.0,Moscow,6.0,235.0,150.0,25.0,15.0,20,Without renovation
519481,Secondary, Аминьевская,6.0,Moscow,6.0,385.0,123.0,22.0,1.0,25,Without renovation
600000,Secondary, Народное Ополчение,5.0,Moscow,6.0,353.0,180.6,35.8,1.0,3,Designer
1003053,Secondary, Шаболовская,12.0,Moscow,6.0,229.3,143.0,13.0,17.0,17,Designer
1100000,Secondary, Минская,14.0,Moscow,6.0,375.0,191.7,37.7,5.0,6,Designer
993478,Secondary, Университет,3.0,Moscow,6.0,460.0,350.0,20.0,16.0,24,Designer
600000,Secondary, Народное Ополчение,5.0,Moscow,6.0,861.5,437.7,77.9,1.0,3,Designer
366071,Secondary, Щукинская,18.0,Moscow,6.0,560.0,26.0,53.0,4.0,25,Designer
1066667,Secondary, Маяковская,10.0,Moscow,6.0,300.0,144.0,36.0,6.0,10,European-style renovation
862069,Secondary, Тушинская,13.0,Moscow,6.0,406.0,18.0,40.2,3.0,3,Designer
520833,Secondary, Китай-город,4.0,Moscow,6.0,240.0,190.0,20.0,5.0,6,Designer
2472625,Secondary, Смоленская,20.0,Moscow,6.0,283.1,149.0,27.0,11.0,14,Designer
490798,Secondary, Кузнецкий мост,3.0,Moscow,6.0,326.0,18.0,33.6,4.0,5,European-style renovation
1272364,Secondary, Фрунзенская,7.0,Moscow,6.0,275.0,170.0,29.4,14.0,18,Without renovation
1146552,Secondary, Смоленская,8.0,Moscow,6.0,348.0,288.0,25.0,7.0,7,Without renovation
1136951,Secondary, Спортивная,9.0,Moscow,6.0,387.0,210.0,40.0,4.0,5,Designer
1379919,Secondary, Спортивная,7.0,Moscow,6.0,396.4,202.5,39.4,14.0,15,Without renovation
1396947,Secondary, Спортивная,7.0,Moscow,6.0,524.0,267.0,50.0,14.0,15,Without renovation
465909,Secondary, Парк Культуры,8.0,Moscow,6.0,176.0,91.1,21.2,2.0,6,Cosmetic
315985,Secondary, Филёвский парк,3.0,Moscow,6.0,269.0,186.0,30.0,16.0,17,European-style renovation
368543,Secondary, Смоленская,9.0,Moscow,6.0,350.0,250.0,50.0,4.0,4,Designer
585586,Secondary, ЗИЛ,14.0,Moscow,6.0,222.0,96.0,37.0,1.0,3,Without renovation
296093,Secondary, Аэропорт,7.0,Moscow,6.0,455.6,58.0,44.3,14.0,15,Without renovation
550000,Secondary, Смоленская,7.0,Moscow,6.0,260.3,160.0,28.2,3.0,13,Without renovation
560000,Secondary, Полежаевская,7.0,Moscow,6.0,375.0,172.0,30.0,13.0,25,Designer
500000,Secondary, Войковская,12.0,Moscow,6.0,500.0,165.0,25.0,1.0,5,Designer
650000,Secondary, Тушинская,12.0,Moscow,6.0,500.0,300.0,50.0,1.0,4,Designer
1147541,Secondary, Фрунзенская,3.0,Moscow,6.0,305.0,24.0,31.9,2.0,6,Designer
1100000,Secondary, Минская,13.0,Moscow,6.0,379.5,370.0,38.0,5.0,6,Without renovation
1267606,Secondary, Спортивная,9.0,Moscow,6.0,355.0,100.0,19.0,3.0,5,Designer
2307692,Secondary, Спортивная,9.0,Moscow,6.0,325.0,166.4,33.5,14.0,18,Without renovation
428922,Secondary, Новые Черёмушки,12.0,Moscow,6.0,408.0,280.0,25.0,7.0,15,Designer
1006711,Secondary, Новослободская,8.0,Moscow,6.0,298.0,200.0,30.0,6.0,10,Designer
1904762,Secondary, Баррикадная,11.0,Moscow,6.0,630.0,300.0,100.0,6.0,7,Without renovation
432900,Secondary, Давыдково,5.0,Moscow,6.0,693.0,409.8,64.0,7.0,7,Without renovation
650000,Secondary, Тушинская,12.0,Moscow,6.0,500.0,180.0,15.0,1.0,4,Designer
1254125,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,303.0,126.0,22.0,3.0,12,Without renovation
691563,Secondary, Киевская,8.0,Moscow,6.0,578.4,504.9,20.0,5.0,5,Without renovation
530955,Secondary, Выставочная,5.0,Moscow,6.0,941.7,20.0,84.6,59.0,60,Designer
465909,Secondary, Кропоткинская,13.0,Moscow,6.0,176.0,15.0,21.2,2.0,6,Without renovation
283286,Secondary, Октябрьское поле,5.0,Moscow,6.0,317.7,250.0,30.0,26.0,27,Without renovation
368571,Secondary, Смоленская,9.0,Moscow,6.0,350.0,135.0,30.0,4.0,5,Designer
1248945,Secondary, Ломоносовский проспект,4.0,Moscow,6.0,237.0,153.6,35.0,3.0,12,Without renovation
1253333,Secondary, Спортивная,9.0,Moscow,6.0,375.0,37.0,18.0,4.0,5,Designer
310345,Secondary, Раменки,2.0,Moscow,6.0,319.0,163.4,33.0,18.0,19,Designer
294118,Secondary, Молодёжная,14.0,Moscow,6.0,340.0,270.0,42.0,21.0,21,Without renovation
383472,Secondary, Смоленская,9.0,Moscow,6.0,336.4,140.0,40.0,4.0,4,Designer
427481,Secondary, Полянка,6.0,Moscow,6.0,327.5,250.0,20.0,1.0,2,Without renovation
428571,Secondary, Новослободская,2.0,Moscow,6.0,350.0,239.0,15.3,17.0,17,Designer
552913,Secondary, Китай-город,6.0,Moscow,6.0,336.4,222.5,26.0,4.0,4,Cosmetic
366071,Secondary, Щукинская,18.0,Moscow,6.0,560.0,190.0,40.0,4.0,48,European-style renovation
714952,Secondary, Чеховская,4.0,Moscow,6.0,321.7,164.8,33.3,5.0,5,Designer
1300000,Secondary, Спортивная,1.0,Moscow,6.0,208.9,37.0,23.9,16.0,16,Without renovation
432900,Secondary, Минская,7.0,Moscow,6.0,693.0,352.5,64.0,7.0,7,Without renovation
860374,Secondary, Балтийская,12.0,Moscow,6.0,406.8,305.1,40.3,1.0,6,Designer
834997,Secondary, Кропоткинская,10.0,Moscow,6.0,550.9,200.0,25.0,6.0,7,Without renovation
376938,Secondary, Маяковская,4.0,Moscow,6.0,103.2,68.5,14.3,3.0,6,Cosmetic
449275,Secondary, Серпуховская,15.0,Moscow,6.0,138.0,15.0,18.1,33.0,46,Without renovation
241071,Secondary, Народное Ополчение,3.0,Moscow,6.0,280.0,195.0,21.0,15.0,16,European-style renovation
309561,Secondary, Минская,18.0,Moscow,6.0,255.2,180.0,27.8,21.0,22,Without renovation
311765,Secondary, Ломоносовский проспект,13.0,Moscow,6.0,255.0,131.0,27.7,20.0,22,Without renovation
312041,Secondary, Пушкинская,3.0,Moscow,6.0,272.4,209.7,17.0,5.0,6,Without renovation
478261,Secondary, Сретенский бульвар,5.0,Moscow,6.0,207.0,20.0,23.8,2.0,5,Cosmetic
286957,Secondary, Ломоносовский проспект,17.0,Moscow,6.0,345.0,290.0,30.0,17.0,18,Designer
645963,Secondary, Комсомольская,9.0,Moscow,6.0,161.0,49.9,20.0,22.0,28,Without renovation
580000,Secondary, Полежаевская,8.0,Moscow,6.0,183.0,130.0,20.0,23.0,24,Without renovation
779221,Secondary, Дмитровская,1.0,Moscow,6.0,154.0,34.1,19.4,58.0,59,Designer
383472,Secondary, Смоленская,8.0,Moscow,6.0,336.4,172.2,34.5,4.0,4,Designer
477064,Secondary, Ломоносовский проспект,19.0,Moscow,6.0,272.5,170.0,30.0,21.0,22,Designer
486667,Secondary, Проспект Вернадского,17.0,Moscow,6.0,300.0,155.0,54.0,8.0,8,Designer
596708,Secondary, Тропарёво,14.0,Moscow,6.0,243.0,205.0,26.7,34.0,39,Designer
590000,Secondary, Чистые пруды,5.0,Moscow,6.0,300.0,240.0,31.5,3.0,5,European-style renovation
682657,Secondary, Ленинский проспект,20.0,Moscow,6.0,271.0,121.0,19.8,17.0,17,Without renovation
621875,Secondary, Менделеевская,0.0,Moscow,6.0,320.0,163.9,33.1,3.0,20,Designer
366071,Secondary, Щукинская,11.0,Moscow,6.0,560.0,50.0,53.0,4.0,31,Designer
923873,Secondary, Аэропорт,12.0,Moscow,0.0,135.3,70.5,17.8,37.0,37,Without renovation
429603,Secondary, Белорусская,6.0,Moscow,0.0,277.0,142.2,29.6,4.0,6,Without renovation
245000,Secondary, Ростокино,11.0,Moscow,0.0,100.0,75.0,20.0,8.0,38,Without renovation
436997,Secondary, Народное Ополчение,19.0,Moscow,0.0,37.3,21.0,9.7,2.0,28,Without renovation
206731,Secondary, Молодёжная,14.0,Moscow,0.0,208.0,180.0,23.8,19.0,22,Without renovation
170843,Secondary, Верхние Лихоборы,3.0,Moscow,0.0,87.8,59.0,20.0,2.0,24,Without renovation
463158,Secondary, Народное Ополчение,19.0,Moscow,0.0,38.0,21.3,9.8,11.0,28,Without renovation
455764,Secondary, Минская,5.0,Moscow,0.0,74.6,28.4,12.8,1.0,14,Without renovation
349515,Secondary, Новаторская,20.0,Moscow,0.0,206.0,150.0,20.0,22.0,51,Without renovation
710407,Secondary, Добрынинская,12.0,Moscow,0.0,110.5,60.5,11.8,11.0,12,Without renovation
687003,Secondary, Деловой центр,1.0,Moscow,0.0,188.5,97.4,22.2,75.0,95,Designer
351852,Secondary, Ростокино,11.0,Moscow,0.0,135.0,70.4,17.8,30.0,38,Without renovation
268987,Secondary, Ростокино,12.0,Moscow,0.0,126.4,66.0,17.1,22.0,59,Without renovation
438211,Secondary, Динамо,11.0,Moscow,0.0,123.0,64.3,16.8,17.0,36,Without renovation
1200535,Secondary, Арбатская,6.0,Moscow,0.0,187.0,25.0,22.1,5.0,6,Without renovation
378571,Secondary, Аминьевская,11.0,Moscow,0.0,70.0,31.0,15.0,20.0,42,Without renovation
282609,Secondary, Выставочный центр,4.0,Moscow,0.0,115.0,60.3,16.2,10.0,38,Without renovation
382166,Secondary, Ростокино,11.0,Moscow,0.0,157.0,157.0,19.6,35.0,38,Without renovation
263393,Secondary, Свиблово,6.0,Moscow,0.0,112.0,58.8,15.9,22.0,23,Without renovation
368764,Secondary, Ясенево,3.0,Moscow,0.0,138.3,72.1,18.1,13.0,23,Without renovation
382243,Secondary, Маяковская,5.0,Moscow,0.0,53.5,30.0,10.0,10.0,12,Without renovation
501279,Secondary, Маяковская,5.0,Moscow,0.0,78.2,50.0,15.0,10.0,12,Without renovation
551176,Secondary, Маяковская,5.0,Moscow,0.0,85.0,60.0,10.0,10.0,12,Without renovation
387324,Secondary, Аминьевская,11.0,Moscow,0.0,71.0,36.0,16.0,19.0,34,European-style renovation
333333,Secondary, Ростокино,12.0,Moscow,0.0,126.0,65.8,17.1,22.0,59,Without renovation
682540,Secondary, Серпуховская,10.0,Moscow,0.0,63.0,21.0,34.0,5.0,14,Designer
465909,Secondary, Полежаевская,17.0,Moscow,0.0,44.0,24.4,10.3,12.0,27,Without renovation
425000,Secondary, Тимирязевская,2.0,Moscow,0.0,157.5,16.1,19.7,5.0,16,Without renovation
427270,Secondary, Тимирязевская,2.0,Moscow,0.0,157.5,16.1,19.7,6.0,16,Without renovation
1076520,Secondary, Новослободская,6.0,Moscow,0.0,343.7,50.0,35.1,3.0,3,Without renovation
236549,Secondary, Солнцево,6.0,Moscow,0.0,53.9,26.9,9.7,19.0,22,Without renovation
305677,Secondary, Угрешская,4.0,Moscow,0.0,68.7,32.7,16.4,22.0,30,Without renovation
474198,Secondary, Зябликово,7.0,Moscow,0.0,71.7,46.0,10.0,30.0,30,Without renovation
1002801,Secondary, Маяковская,10.0,Moscow,0.0,357.0,285.0,36.2,3.0,3,Without renovation
501520,Secondary, Карамышевская,9.0,Moscow,0.0,32.9,18.8,9.4,13.0,17,European-style renovation
374449,Secondary, Балтийская,15.0,Moscow,0.0,45.4,25.1,10.4,1.0,5,Without renovation
233333,Secondary, Рижская,24.0,Moscow,0.0,75.0,45.0,12.0,3.0,4,Designer
399306,Secondary, Селигерская,6.0,Moscow,0.0,57.6,37.6,15.0,1.0,11,Without renovation
427419,Secondary, Сходненская,17.0,Moscow,0.0,62.0,62.0,11.8,1.0,5,Without renovation
244444,Secondary, Ростокино,10.0,Moscow,0.0,135.0,70.4,17.8,30.0,38,Without renovation
382322,Secondary, Аминьевская,11.0,Moscow,0.0,93.9,49.6,14.4,34.0,39,Without renovation
348624,Secondary, Ростокино,12.0,Moscow,0.0,109.0,57.2,15.7,55.0,59,Without renovation
296875,Secondary, Ростокино,13.0,Moscow,0.0,128.0,66.8,17.2,52.0,58,Without renovation
362563,Secondary, Народное Ополчение,9.0,Moscow,0.0,118.6,70.7,14.3,9.0,48,Without renovation
673267,Secondary, Славянский бульвар,22.0,Moscow,0.0,101.0,66.0,30.0,11.0,23,Without renovation
469055,Secondary, Молодёжная,7.0,Moscow,0.0,153.5,79.7,19.3,10.0,28,Without renovation
600000,Secondary, Белорусская,6.0,Moscow,0.0,121.5,63.6,16.7,6.0,6,Without renovation
292593,Secondary, Пролетарская,1.0,Moscow,0.0,270.0,138.6,29.0,15.0,16,Without renovation
494118,Secondary, Шелепиха,18.0,Moscow,0.0,170.0,88.1,20.7,18.0,19,Without renovation
521053,Secondary, Белорусская,7.0,Moscow,0.0,190.0,98.2,22.4,4.0,6,Without renovation
1035984,Secondary, Арбатская,6.0,Moscow,0.0,138.2,16.0,18.1,5.0,7,Without renovation
523392,Secondary, Белорусская,6.0,Moscow,0.0,342.0,175.0,34.9,4.0,6,Without renovation
534442,Secondary, Белорусская,5.0,Moscow,0.0,336.8,172.4,34.5,5.0,6,Without renovation
241719,Secondary, Новокузнецкая,3.0,Moscow,0.0,1117.0,566.8,99.1,3.0,12,Without renovation
517241,Secondary, Белорусская,6.0,Moscow,0.0,522.0,266.0,49.8,6.0,6,Without renovation
1423480,Secondary, Спортивная,8.0,Moscow,0.0,390.59,199.6,39.0,14.0,15,Without renovation
1409647,Secondary, Спортивная,8.0,Moscow,0.0,517.86,309.0,59.0,14.0,15,Without renovation
1442861,Secondary, Спортивная,8.0,Moscow,0.0,517.86,309.0,59.0,14.0,15,Without renovation
1442996,Secondary, Спортивная,8.0,Moscow,0.0,517.86,309.0,59.0,14.0,15,Without renovation
1442475,Secondary, Спортивная,8.0,Moscow,0.0,517.86,309.0,59.0,14.0,15,Without renovation
141558,Secondary, ЗИЛ,11.0,Moscow,0.0,77.0,53.0,7.0,3.0,5,Without renovation
525568,Secondary, Фили,8.0,Moscow,0.0,70.4,37.7,12.5,14.0,30,Without renovation
434311,Secondary, Войковская,9.0,Moscow,0.0,92.1,48.7,14.3,13.0,24,Without renovation
475000,Secondary, Динамо,7.0,Moscow,0.0,93.5,49.4,14.4,13.0,18,Without renovation
878788,Secondary, Арбатская,6.0,Moscow,0.0,66.0,35.5,12.1,5.0,6,Without renovation
293846,Secondary, Чкаловская,15.0,Moscow,0.0,13.0,5.0,3.0,1.0,14,Without renovation
292857,Secondary, Курская,18.0,Moscow,0.0,16.8,8.8,3.0,1.0,14,Without renovation
292941,Secondary, Курская,18.0,Moscow,0.0,17.0,8.0,3.0,1.0,14,Without renovation
281457,Secondary, Ботанический сад,21.0,Moscow,0.0,30.2,19.2,6.0,14.0,18,Without renovation
133634,Secondary, Филатов Луг,11.0,Moscow,0.0,66.6,43.0,18.0,4.0,4,Without renovation
363333,Secondary, Локомотив,23.0,Moscow,0.0,30.0,19.0,6.0,5.0,30,European-style renovation
311245,Secondary, Водный стадион,6.0,Moscow,0.0,49.8,24.0,12.0,3.0,26,Without renovation
314815,Secondary, Тушинская,19.0,Moscow,0.0,54.0,40.0,4.0,4.0,4,Cosmetic
314417,Secondary, Профсоюзная,21.0,Moscow,0.0,65.2,48.0,10.0,15.0,23,Without renovation
365217,Secondary, Достоевская,6.0,Moscow,0.0,57.5,37.7,9.0,1.0,5,Cosmetic
270588,Secondary, Рассказовка,5.0,Moscow,0.0,85.0,60.0,11.0,10.0,22,European-style renovation
458716,Secondary, Аминьевская,8.0,Moscow,0.0,53.41,29.1,11.1,27.0,39,Without renovation
313653,Secondary, Новые Черёмушки,9.0,Moscow,0.0,81.3,67.8,8.5,3.0,6,Without renovation
374693,Secondary, Шелепиха,13.0,Moscow,0.0,81.4,60.0,16.0,12.0,53,Without renovation
211000,Secondary, Ростокино,20.0,Moscow,0.0,147.0,76.5,18.8,22.0,23,Cosmetic
237251,Secondary, Гражданская,3.0,Moscow,0.0,135.3,91.0,9.0,1.0,5,Without renovation
462821,Secondary, Комсомольская,6.0,Moscow,0.0,117.0,40.0,50.0,3.0,18,Without renovation
665345,Secondary, Деловой центр,3.0,Moscow,0.0,353.2,280.0,40.0,82.0,95,Without renovation
72414,Secondary, Подольск,35.0,Moscow,0.0,58.0,31.5,11.4,1.0,5,Without renovation
162939,Secondary, Перерва,11.0,Moscow,0.0,31.3,21.5,4.0,2.0,2,European-style renovation
208333,Secondary, Сокольники,12.0,Moscow,0.0,30.0,21.0,4.0,1.0,6,European-style renovation
242947,Secondary, Коммунарка,9.0,Moscow,0.0,31.9,16.0,9.0,2.0,15,Without renovation
266333,Secondary, Царицыно,26.0,Moscow,0.0,30.0,17.3,9.1,11.0,17,Cosmetic
203125,Secondary, Бунинская аллея,4.0,Moscow,0.0,41.6,21.0,11.0,3.0,16,Without renovation
213930,Secondary, Перерва,16.0,Moscow,0.0,40.2,12.0,5.0,2.0,6,Designer
245833,Secondary, Рассказовка,7.0,Moscow,0.0,36.0,16.0,13.0,2.0,5,Without renovation
268657,Secondary, Ботанический сад,15.0,Moscow,0.0,33.5,19.1,9.4,18.0,18,Without renovation
209091,Secondary, Царицыно,5.0,Moscow,0.0,44.0,19.0,10.0,8.0,16,Without renovation
291250,Secondary, Сокольники,13.0,Moscow,0.0,32.0,29.5,9.3,1.0,3,Without renovation
239975,Secondary, Улица Старокачаловская,12.0,Moscow,0.0,40.0,10.0,21.0,3.0,12,Cosmetic
